2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月07日 17小时05分钟55秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
