2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
2019年03月08日 15小时53分钟16秒 [           main] [ WARN]           vip.xjdai.annotation.test.Demo | 我是警告
